feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
FSH 0' 30' 60' (L_FSH0),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
FSH 0' 30' 60' (L_FSH30),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
FSH 0' 30' 60' (L_FSH60),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
LH 0' 30' 60' (LH0),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
LH 0' 30' 60' (L_LH30),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
LH 0' 30' 60' (L_LH60),0.01166407465007776,0.0,0.01166407465007776,0.01166407465007776,0.0,1.0,1.0
Procent odzysku prolaktyny po precypitacji (MAKROPRL),0.01088646967340591,0.0,0.01088646967340591,0.01088646967340591,0.0,1.0,1.0
Test Roma (HE4),0.007776049766718507,0.0,0.007776049766718507,0.007776049766718507,0.0,1.0,1.0
Test Roma (CA125),0.006220839813374806,0.0,0.006220839813374806,0.006220839813374806,0.0,1.0,1.0
Test Roma (POMENOP),0.006220839813374806,0.0,0.006220839813374806,0.006220839813374806,0.0,1.0,1.0
Test Roma (PRMENOP),0.006220839813374806,0.0,0.006220839813374806,0.006220839813374806,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G1030),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G1200),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G1500),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G1800),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G2100),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G2400),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G330),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Dobowy rytm tolerancji glukozy (L_G700),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Mocz - badanie ogólne (MCIEZA),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
Mocz - badanie ogólne (MPH),0.005443234836702955,0.0,0.005443234836702955,0.005443234836702955,0.0,1.0,1.0
FT3 (FT3),0.004665629860031105,0.0,0.004665629860031105,0.004665629860031105,0.0,1.0,1.0
APTT Czas kaolinowo-kefalinowy (APTTCZ),0.0038880248833592537,0.0,0.0038880248833592537,0.0038880248833592537,0.0,1.0,1.0
P/c przeciw receptorowi TSH (TRAb) (TRAB_2),0.0038880248833592537,0.0,0.0038880248833592537,0.0038880248833592537,0.0,1.0,1.0
Protrombina (PT) (PTAKT),0.0038880248833592537,0.0,0.0038880248833592537,0.0038880248833592537,0.0,1.0,1.0
Protrombina (PT) (PTCZAS),0.0038880248833592537,0.0,0.0038880248833592537,0.0038880248833592537,0.0,1.0,1.0
Hemoglobina glikowana (L53.IFC),0.003110419906687403,0.0,0.003110419906687403,0.003110419906687403,0.0,1.0,1.0
Hemoglobina glikowana (L55),0.003110419906687403,0.0,0.003110419906687403,0.003110419906687403,0.0,1.0,1.0
Fibrynogen (L_FIB),0.0023328149300155523,0.0,0.0023328149300155523,0.0023328149300155523,0.0,1.0,1.0
Kortyzol po Dexamethasonie [4mg] (KOR4DXM),0.0023328149300155523,0.0,0.0023328149300155523,0.0023328149300155523,0.0,1.0,1.0
Żelazo (FE),0.0023328149300155523,0.0,0.0023328149300155523,0.0023328149300155523,0.0,1.0,1.0
D-dimery (DDIMER),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Ferrytyna (FERR),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Fosforany nieorganiczne (FOSFOR),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Glukoza (L_GLU),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Mocz - badanie ogólne (MERY),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Mocz - badanie ogólne (MLEU),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
P/c przeciw GAD (p/c p. dekarbosylazie kwasu glutaminowego) (PCGAD),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
P/c przeciw receptorowi TSH (TRAb) (O15) (TRAB),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Test Roma (I41),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Test Roma (ROMAPO),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Test Roma (ROMAPR),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
Wapń całkowity (TCAL),0.0015552099533437014,0.0,0.0015552099533437014,0.0015552099533437014,0.0,1.0,1.0
ASO - ilościowo (ASOIL),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
CEA (CEA),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
Ca19.9 (CA199),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
Ferrytyna (L05),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
GH (hormon wzrostu) (L_GH),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
IGF-1 (insulinopodobny czynnik wzrostu 1) (IGF1_L),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
Kortyzol na czczo (KORCZ),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
PRL 10:00 i 10:00 po PEG (PRL10),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
PRL 10:00 i 10:00 po PEG (PRL10PEG),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
SHBG (SHGB),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
Wapń zjonizowany (surowica) (L_CAZJS),0.0007776049766718507,0.0,0.0007776049766718507,0.0007776049766718507,0.0,1.0,1.0
Wiek,1.0,1.0,0.0,0.0,,1.0,1.0
Przyjęcie na oddział zlecający,1.0,1.0,0.0,0.0,,1.0,1.0
Wypis z oddziału zlecającego,1.0,1.0,0.0,0.0,,1.0,1.0
